
. Module name, ATOMS, ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. fm_radio, 6673, 0, 3684, 23, 30
.	. add, 33, 0, 32, 0, 0
.	. demod_fir_32s_1s_Z2, 434, 0, 151, 1, 2
.	. demod_fir_32s_1s_Z3, 397, 0, 152, 1, 2
.	. demod_fir_32s_8s_Z5, 369, 0, 153, 1, 2
.	. demodulate, 1802, 0, 611, 0, 8
.	.	. qarctan, 826, 0, 306, 0, 0
.	.	.	. div_32s_32s, 630, 0, 245, 0, 0
.	. fifo_32s_16s_5s, 18, 0, 11, 1, 0
.	. fifo_32s_16s_5s_0, 20, 0, 17, 1, 0
.	. fifo_32s_16s_5s_3, 25, 0, 17, 0, 0
.	. fifo_32s_16s_5s_5, 10, 0, 6, 1, 0
.	. fifo_32s_16s_5s_5_0, 18, 0, 11, 1, 0
.	. fifo_32s_16s_5s_5_1, 18, 0, 11, 1, 0
.	. fifo_32s_16s_5s_5_10, 21, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_11, 20, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_12, 21, 0, 19, 1, 0
.	. fifo_32s_16s_5s_5_13, 21, 0, 19, 1, 0
.	. fifo_32s_16s_5s_5_2, 18, 0, 11, 1, 0
.	. fifo_32s_16s_5s_5_3, 19, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_4, 347, 0, 544, 0, 0
.	. fifo_32s_16s_5s_5_5, 17, 0, 11, 1, 0
.	. fifo_32s_16s_5s_5_6, 26, 0, 21, 1, 0
.	. fifo_32s_16s_5s_5_7, 27, 0, 21, 1, 0
.	. fifo_32s_16s_5s_5_8, 21, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_9, 22, 0, 15, 1, 0
.	. fifo_8s_16s_5s, 113, 0, 147, 0, 0
.	. fir_32s_1s_Z4, 401, 0, 152, 1, 2
.	. fir_32s_8s_Z6, 406, 0, 153, 1, 2
.	. fir_cmplx_20s_Z1, 986, 0, 319, 2, 0
.	. gain_32s_10s_0, 52, 0, 8, 0, 2
.	. gain_32s_10s_1, 52, 0, 8, 0, 2
.	. iir_2s_Z7_2, 237, 0, 318, 0, 2
.	. iir_2s_Z7_2_0, 238, 0, 322, 0, 2
.	. multiply_32s, 228, 0, 29, 0, 2
.	. read_iq_32s_16s_8s_10s, 50, 0, 37, 0, 0
.	. square_32s, 127, 0, 14, 0, 2
.	. sub, 3, 0, 33, 0, 0
